OBJECTID,CSA2010,vio10,vio11,vio12,vio13,vio15,vio16,vio17,vio18,SHAPE_Length,SHAPE_Area
46,Poppleton/The Terraces/Hollins Market,7.17,9.489051095,21.11029949,28.92622352,7.19002201,6.382978723,8.491947291,4.31918008784773,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,10.48,10.24839612,16.30971993,18.68403694,3.020245602,3.318951211,8.199436806,6.74175915189663,20987.1433066415,23672092.8680536
48,South Baltimore,0.24,0.483237693,0.740960285,0.770827157,0.726321906,0.46484602,0.29044438,0.232355503920999,68440.0258267645,46353935.42529
49,Southeastern,0.71,2.031850632,5.21978022,2.620087336,1.465002713,1.790558871,2.295081967,2.95081967213114,102291.480547452,111251478.472831
50,Southern Park Heights,8.35,10.17369727,10.73389915,12.8032008,3.394589076,4.16028586,7.285276074,6.33946830265848,24052.2213722085,27876227.5906738
51,Southwest Baltimore,7.89,9.752847104,10.12519752,11.00158209,3.534126791,3.351955307,8.490222276,7.17842827644843,28355.5635813649,37766068.8367913
52,The Waverlies,3.97,4.457652303,3.159851301,5.278810409,3.572757722,4.614812058,4.69273743,6.77839851024208,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,11.34,12.1352478,19.08964236,35.52875696,5.049551675,5.332704106,10.08522727,8.71212121212121,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,2.69,2.973168963,2.68115942,3.407031533,2.923132443,1.948754962,2.600216685,3.64752618273745,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,3.45,6.504445484,6.094702297,6.607310216,2.425373134,4.804104478,4.850746269,4.85074626865671,42573.1244161893,45494092.9497963
